  49/99998     8.96G   0.06435   0.04756         0    0.1119      1770       640    0.8346     0.567    0.6225    0.3092   0.06041    0.0415         0
  50/99998     8.96G   0.06473   0.04704         0    0.1118      1117       640    0.8488    0.5641    0.6263    0.3114   0.06033   0.04126         0
  51/99998     8.96G   0.06446   0.04764         0    0.1121      1104       640      0.84    0.5715    0.6281    0.3129   0.06016   0.04126         0
  52/99998     8.96G   0.06481   0.04728         0    0.1121       861       640    0.8265    0.5757    0.6273    0.3129   0.06015   0.04123         0
  53/99998     8.96G   0.06473     0.048         0    0.1127      1819       640    0.8173    0.5795    0.6267    0.3124   0.06013   0.04127         0
  54/99998     8.96G   0.06414   0.04769         0    0.1118      1419       640    0.8291     0.575    0.6283    0.3142   0.06001   0.04123         0
  55/99998     8.96G   0.06468   0.04682         0    0.1115      1563       640    0.8309    0.5765    0.6288    0.3135   0.05997   0.04117         0
  56/99998     8.96G   0.06481   0.04748         0    0.1123      1147       640    0.8289    0.5743    0.6272    0.3132   0.05994   0.04147         0
  57/99998     8.96G   0.06474   0.04745         0    0.1122      1482       640     0.838    0.5757    0.6321    0.3153   0.05984   0.04121         0
  58/99998     8.96G   0.06513   0.04806         0    0.1132      1318       640    0.8379    0.5775    0.6328    0.3171   0.05975   0.04102         0
  59/99998     8.96G   0.06495   0.04778         0    0.1127      1414       640    0.8264    0.5837    0.6337    0.3178   0.05973   0.04108         0
  60/99998     8.96G   0.06401   0.04718         0    0.1112      1288       640    0.8433    0.5758    0.6338     0.318   0.05962   0.04102         0
  61/99998     8.96G   0.06372   0.04761         0    0.1113      1423       640    0.8379    0.5787     0.634    0.3178   0.05964   0.04098         0
  62/99998     8.96G   0.06428   0.04786         0    0.1121       960       640    0.8447    0.5751    0.6342    0.3185   0.05958   0.04095         0
  63/99998     8.96G   0.06294   0.04602         0     0.109      1430       640    0.8411     0.582    0.6375    0.3193   0.05948   0.04107         0
  64/99998     8.96G   0.06419   0.04737         0    0.1116       949       640    0.8362    0.5856    0.6384    0.3206   0.05938   0.04102         0
  65/99998     8.96G   0.06448   0.04711         0    0.1116      1870       640    0.8466    0.5759    0.6348    0.3186   0.05948   0.04131         0
  66/99998     8.96G   0.06337   0.04683         0    0.1102      1317       640    0.8368    0.5824    0.6357    0.3195   0.05943   0.04103         0
  67/99998     8.96G   0.06431   0.04746         0    0.1118      1214       640    0.8306    0.5865    0.6385    0.3197   0.05935   0.04113         0
  68/99998     8.96G   0.06413   0.04675         0    0.1109       922       640    0.8518    0.5762    0.6375    0.3193   0.05936   0.04092         0
  69/99998     8.96G   0.06398   0.04736         0    0.1113      1262       640    0.8368    0.5865    0.6412    0.3225   0.05919   0.04085         0
  70/99998     8.96G   0.06365   0.04696         0    0.1106       931       640    0.8504    0.5814     0.642    0.3224   0.05915   0.04083         0
  71/99998     8.96G    0.0636   0.04675         0    0.1103      1367       640    0.8335    0.5916    0.6424    0.3234   0.05906   0.04084         0
  72/99998     8.96G   0.06411   0.04688         0     0.111      2846       640    0.8433    0.5869    0.6428    0.3229   0.05904    0.0409         0
  73/99998     8.96G   0.06427   0.04762         0    0.1119       941       640     0.843    0.5892     0.644    0.3239     0.059   0.04078         0
  74/99998     8.96G   0.06358   0.04737         0     0.111      1051       640    0.8381    0.5923    0.6452    0.3246   0.05897   0.04084         0
  75/99998     8.96G   0.06348   0.04741         0    0.1109      1098       640    0.8426    0.5897    0.6445     0.324   0.05897   0.04079         0
  76/99998     8.96G   0.06348   0.04765         0    0.1111      1239       640    0.8392    0.5925    0.6457    0.3249   0.05889   0.04075         0
  77/99998     8.96G   0.06304   0.04694         0      0.11      1245       640    0.8366     0.595     0.647    0.3258   0.05887   0.04077         0
  78/99998     8.96G   0.06346   0.04694         0    0.1104      1329       640    0.8389    0.5945    0.6465    0.3259   0.05885   0.04072         0
  79/99998     8.96G    0.0641   0.04777         0    0.1119      1154       640    0.8385    0.5954    0.6479    0.3258   0.05883   0.04076         0
  80/99998     8.96G   0.06359   0.04711         0    0.1107      1021       640    0.8425     0.593    0.6477    0.3263   0.05879   0.04076         0
  81/99998     8.96G   0.06402   0.04677         0    0.1108      1212       640    0.8435    0.5933    0.6483    0.3262   0.05877    0.0408         0
  82/99998     8.96G     0.063   0.04664         0    0.1096      1309       640    0.8439    0.5917    0.6482    0.3268   0.05872   0.04083         0
  83/99998     8.96G    0.0636   0.04713         0    0.1107      1350       640    0.8466    0.5922    0.6488    0.3269   0.05869   0.04075         0
  84/99998     8.96G     0.063   0.04635         0    0.1094      1222       640    0.8431    0.5931    0.6482    0.3265   0.05867   0.04073         0
  85/99998     8.96G     0.063   0.04685         0    0.1098      1750       640    0.8384     0.595     0.649    0.3269   0.05865   0.04074         0
  86/99998     8.96G   0.06419   0.04729         0    0.1115      1473       640    0.8393    0.5961      0.65    0.3274   0.05863   0.04069         0
  87/99998     8.96G   0.06349   0.04655         0      0.11      1105       640     0.843    0.5941      0.65    0.3276    0.0586   0.04067         0
  88/99998     8.96G   0.06419   0.04732         0    0.1115      1476       640    0.8406    0.5962    0.6497    0.3277   0.05858   0.04068         0
  89/99998     8.96G   0.06303   0.04619         0    0.1092      1061       640    0.8339    0.5995    0.6498    0.3281   0.05854   0.04063         0
  90/99998     8.96G   0.06282   0.04663         0    0.1094      1299       640    0.8343    0.6008     0.651    0.3282   0.05852   0.04065         0
  91/99998     8.96G   0.06341   0.04734         0    0.1108      1419       640    0.8392    0.5996    0.6513    0.3287   0.05849   0.04062         0
  92/99998     8.96G   0.06374   0.04734         0    0.1111      1308       640     0.837    0.6007    0.6524    0.3287   0.05846   0.04059         0
  93/99998     8.96G   0.06263   0.04687         0    0.1095      2261       640     0.831    0.6028    0.6515    0.3286   0.05843   0.04061         0
  94/99998     8.96G   0.06188   0.04537         0    0.1072      1092       640    0.8358    0.6014    0.6521    0.3289    0.0584    0.0406         0
  95/99998     8.96G   0.06195   0.04541         0    0.1074      1166       640    0.8463    0.5966    0.6526    0.3289   0.05838   0.04059         0
  96/99998     8.96G   0.06264   0.04732         0      0.11       851       640    0.8393    0.5991    0.6519    0.3289   0.05837   0.04066         0
